"","hh_iscomplete_b","user_edits_rmove","error_flag","n"
"1",0,"edit","""change mode"" purpose",350
"2",0,"edit","PUDO, no +/- travelers",293
"3",0,"edit","ends day, not home",119
"4",0,"edit","excessive speed",59
"5",0,"edit","lone trip",3
"6",0,"edit","missing next trip link",363
"7",0,"edit","mode_1 missing",111
"8",0,"edit","no activity time after",15
"9",0,"edit","non-student + school trip",1
"10",0,"edit","non-worker + work trip",6
"11",0,"edit","o purpose not equal to prior d purpose",1
"12",0,"edit","purpose at odds w/ dest",1
"13",0,"edit","same dest as prior",10
"14",0,"edit","starts, not from home",6
"15",0,"edit","too long at dest?",108
"16",0,"edit","too slow",78
"17",0,"edit",NA,10814
"18",0,"no edit","""change mode"" purpose",332
"19",0,"no edit","PUDO, no +/- travelers",361
"20",0,"no edit","ends day, not home",104
"21",0,"no edit","excessive speed",49
"22",0,"no edit","lone trip",2
"23",0,"no edit","missing next trip link",194
"24",0,"no edit","mode_1 missing",237
"25",0,"no edit","no activity time after",24
"26",0,"no edit","non-student + school trip",3
"27",0,"no edit","non-worker + work trip",3
"28",0,"no edit","o purpose not equal to prior d purpose",1
"29",0,"no edit","same dest as prior",25
"30",0,"no edit","too long at dest?",194
"31",0,"no edit","too slow",94
"32",0,"no edit",NA,12755
"33",1,"edit","""change mode"" purpose",1226
"34",1,"edit","PUDO, no +/- travelers",252
"35",1,"edit","ends day, not home",65
"36",1,"edit","excessive speed",64
"37",1,"edit","lone trip",4
"38",1,"edit","missing next trip link",231
"39",1,"edit","mode_1 missing",153
"40",1,"edit","no activity time after",20
"41",1,"edit","non-student + school trip",5
"42",1,"edit","non-worker + work trip",2
"43",1,"edit","o purpose not equal to prior d purpose",2
"44",1,"edit","same dest as prior",7
"45",1,"edit","starts, not from home",4
"46",1,"edit","too long at dest?",64
"47",1,"edit","too slow",84
"48",1,"edit",NA,9926
"49",1,"no edit","""change mode"" purpose",1585
"50",1,"no edit","PUDO, no +/- travelers",911
"51",1,"no edit","ends day, not home",117
"52",1,"no edit","excessive speed",325
"53",1,"no edit","lone trip",270
"54",1,"no edit","missing next trip link",236
"55",1,"no edit","mode_1 missing",371
"56",1,"no edit","no activity time after",12
"57",1,"no edit","non-student + school trip",11
"58",1,"no edit","non-worker + work trip",24
"59",1,"no edit","o purpose not equal to prior d purpose",43
"60",1,"no edit","purpose at odds w/ dest",2
"61",1,"no edit","same dest as prior",47
"62",1,"no edit","starts, not from home",3
"63",1,"no edit","too long at dest?",151
"64",1,"no edit","too slow",335
"65",1,"no edit",NA,45934
