"","user_edits_rmove","error_flag","n"
"1","edit","""change mode"" purpose",75
"2","edit","PUDO, no +/- travelers",610
"3","edit","ends day, not home",109
"4","edit","excessive speed",31
"5","edit","instantaneous",14
"6","edit","missing next trip link",384
"7","edit","mode_1 missing",47
"8","edit","no activity time after",4
"9","edit","non-student + school trip",4
"10","edit","purpose missing",2
"11","edit","same dest as prior",14
"12","edit","starts, not from home",6
"13","edit","time overlap",2
"14","edit","too long at dest?",156
"15","edit","too slow",49
"16","edit",NA,21606
"17","no edit","""change mode"" purpose",146
"18","no edit","PUDO, no +/- travelers",1320
"19","no edit","ends day, not home",116
"20","no edit","excessive speed",16
"21","no edit","initial trip purpose missing",2
"22","no edit","instantaneous",30
"23","no edit","missing next trip link",295
"24","no edit","mode_1 missing",158
"25","no edit","no activity time after",6
"26","no edit","non-student + school trip",10
"27","no edit","non-worker + work trip",4
"28","no edit","purpose missing",29
"29","no edit","same dest as prior",36
"30","no edit","time overlap",3
"31","no edit","too long at dest?",265
"32","no edit","too slow",40
"33","no edit",NA,60782
"34",NA,"missing next trip link",4
"35",NA,NA,9
